MODULE=MIS Manager|STATUS=PARTIAL|FILES=31|FILES_SAMPLE=financeops/modules/mis_manager/__init__.py; financeops/modules/mis_manager/api/routes.py; financeops/modules/mis_manager/api/schemas.py|ROUTES=POST /; POST /; POST /|PAGES=app/(dashboard)/mis/page.tsx|TESTS=54|PASS=YES
MODULE=Bank Reconciliation|STATUS=PARTIAL|FILES=1|FILES_SAMPLE=financeops/api/v1/bank_recon.py|ROUTES=POST /statements; GET /statements; POST /transactions|PAGES=-|TESTS=10|PASS=YES
MODULE=23 ERP Connectors|STATUS=PARTIAL|FILES=101|FILES_SAMPLE=financeops/modules/erp_sync/__init__.py; financeops/modules/erp_sync/api/connections.py; financeops/modules/erp_sync/api/datasets.py|ROUTES=-|PAGES=app/(dashboard)/sync/connect/page.tsx; app/(dashboard)/sync/page.tsx|TESTS=123|PASS=YES
MODULE=Closing Checklist|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/closing_checklist/models.py; financeops/modules/closing_checklist/service.py; financeops/modules/closing_checklist/__init__.py|ROUTES=GET /history; GET /analytics; POST /templates|PAGES=app/(dashboard)/close/[period]/page.tsx; app/(dashboard)/close/page.tsx|TESTS=25|PASS=YES
MODULE=Working Capital Dashboard|STATUS=PARTIAL|FILES=6|FILES_SAMPLE=financeops/modules/working_capital/models.py; financeops/modules/working_capital/service.py; financeops/modules/working_capital/__init__.py|ROUTES=GET /dashboard; GET /ar; GET /ap|PAGES=app/(dashboard)/working-capital/page.tsx|TESTS=29|PASS=YES
MODULE=Expense Management|STATUS=PARTIAL|FILES=6|FILES_SAMPLE=financeops/modules/expense_management/models.py; financeops/modules/expense_management/policy_engine.py; financeops/modules/expense_management/service.py|ROUTES=POST /; GET /; GET /analytics|PAGES=app/(dashboard)/expenses/[id]/page.tsx; app/(dashboard)/expenses/page.tsx; app/(dashboard)/expenses/submit/page.tsx|TESTS=25|PASS=YES
MODULE=Budgeting|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/budgeting/models.py; financeops/modules/budgeting/service.py; financeops/modules/budgeting/__init__.py|ROUTES=POST /versions; GET /versions; GET /versions/{version_id}|PAGES=app/(dashboard)/budget/[year]/edit/page.tsx; app/(dashboard)/budget/[year]/page.tsx; app/(dashboard)/budget/page.tsx|TESTS=25|PASS=YES
MODULE=Forecasting|STATUS=COMPLETE|FILES=5|FILES_SAMPLE=financeops/modules/forecasting/models.py; financeops/modules/forecasting/service.py; financeops/modules/forecasting/__init__.py|ROUTES=POST /; GET /; GET /{run_id}|PAGES=app/(dashboard)/forecast/[id]/page.tsx; app/(dashboard)/forecast/page.tsx|TESTS=26|PASS=YES
MODULE=Scenario Modelling|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/scenario_modelling/models.py; financeops/modules/scenario_modelling/service.py; financeops/modules/scenario_modelling/__init__.py|ROUTES=POST /; GET /; GET /{set_id}|PAGES=app/(dashboard)/scenarios/[id]/page.tsx; app/(dashboard)/scenarios/page.tsx|TESTS=25|PASS=YES
MODULE=FDD|STATUS=PARTIAL|FILES=12|FILES_SAMPLE=financeops/modules/fdd/models.py; financeops/modules/fdd/service.py; financeops/modules/fdd/tasks.py|ROUTES=POST /engagements; GET /engagements; GET /engagements/{engagement_id}|PAGES=app/(dashboard)/advisory/fdd/[id]/page.tsx; app/(dashboard)/advisory/fdd/[id]/report/page.tsx; app/(dashboard)/advisory/fdd/page.tsx|TESTS=25|PASS=YES
MODULE=PPA|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/ppa/models.py; financeops/modules/ppa/service.py; financeops/modules/ppa/__init__.py|ROUTES=POST /engagements; GET /engagements; GET /engagements/{engagement_id}|PAGES=app/(dashboard)/advisory/ppa/[id]/page.tsx; app/(dashboard)/advisory/ppa/page.tsx|TESTS=20|PASS=YES
MODULE=M&A Workspace|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/ma_workspace/models.py; financeops/modules/ma_workspace/service.py; financeops/modules/ma_workspace/__init__.py|ROUTES=POST /workspaces; GET /workspaces; GET /workspaces/{workspace_id}|PAGES=app/(dashboard)/advisory/ma/[id]/documents/page.tsx; app/(dashboard)/advisory/ma/[id]/page.tsx; app/(dashboard)/advisory/ma/[id]/valuation/page.tsx|TESTS=25|PASS=YES
MODULE=Notification Engine|STATUS=PARTIAL|FILES=9|FILES_SAMPLE=financeops/modules/notifications/models.py; financeops/modules/notifications/service.py; financeops/modules/notifications/__init__.py|ROUTES=GET /; POST /read; POST /read-all|PAGES=app/(dashboard)/notifications/page.tsx|TESTS=22|PASS=YES
MODULE=Global Search|STATUS=PARTIAL|FILES=12|FILES_SAMPLE=financeops/modules/search/models.py; financeops/modules/search/service.py; financeops/modules/search/__init__.py|ROUTES=GET /; POST /reindex|PAGES=-|TESTS=20|PASS=YES
MODULE=Learning Engine|STATUS=COMPLETE|FILES=8|FILES_SAMPLE=financeops/modules/learning_engine/models.py; financeops/modules/learning_engine/service.py; financeops/modules/learning_engine/__init__.py|ROUTES=POST /signal; GET /stats; POST /benchmark/run|PAGES=app/(admin)/admin/ai-quality/page.tsx|TESTS=20|PASS=YES
MODULE=13-Week Cash Flow Forecast|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/cash_flow_forecast/models.py; financeops/modules/cash_flow_forecast/service.py; financeops/modules/cash_flow_forecast/__init__.py|ROUTES=POST /forecasts; GET /forecasts; GET /forecasts/{forecast_id}|PAGES=app/(dashboard)/treasury/[id]/page.tsx; app/(dashboard)/treasury/page.tsx|TESTS=15|PASS=YES
MODULE=Tax Provision IAS 12|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/tax_provision/models.py; financeops/modules/tax_provision/service.py; financeops/modules/tax_provision/__init__.py|ROUTES=POST /provision/compute; GET /provision/{period}; GET /schedule|PAGES=app/(dashboard)/tax/[id]/page.tsx; app/(dashboard)/tax/page.tsx|TESTS=15|PASS=YES
MODULE=Debt Covenant Compliance|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/debt_covenants/models.py; financeops/modules/debt_covenants/service.py; financeops/modules/debt_covenants/__init__.py|ROUTES=GET /dashboard; POST /; PATCH /{covenant_id}|PAGES=app/(dashboard)/covenants/page.tsx|TESTS=15|PASS=YES
MODULE=Transfer Pricing Form 3CEB|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/transfer_pricing/models.py; financeops/modules/transfer_pricing/service.py; financeops/modules/transfer_pricing/__init__.py|ROUTES=GET /applicability; POST /transactions; GET /transactions|PAGES=app/(dashboard)/transfer-pricing/[id]/page.tsx; app/(dashboard)/transfer-pricing/page.tsx|TESTS=12|PASS=YES
MODULE=Director/CFO Digital Signoff|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/digital_signoff/models.py; financeops/modules/digital_signoff/service.py; financeops/modules/digital_signoff/__init__.py|ROUTES=POST /initiate; POST /{signoff_id}/sign; GET /{signoff_id}/certificate|PAGES=app/(dashboard)/signoff/page.tsx|TESTS=12|PASS=YES
MODULE=Statutory Registers MCA|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/statutory/models.py; financeops/modules/statutory/service.py; financeops/modules/statutory/__init__.py|ROUTES=GET /calendar; GET /filings; POST /filings/{filing_id}/file|PAGES=app/(dashboard)/statutory/page.tsx|TESTS=12|PASS=YES
MODULE=Multi-GAAP Reporting|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/multi_gaap/models.py; financeops/modules/multi_gaap/service.py; financeops/modules/multi_gaap/__init__.py|ROUTES=GET /config; PATCH /config; POST /compute|PAGES=app/(dashboard)/gaap/page.tsx|TESTS=12|PASS=YES
MODULE=Auditor Portal PBC Tracker|STATUS=PARTIAL|FILES=5|FILES_SAMPLE=financeops/modules/auditor_portal/models.py; financeops/modules/auditor_portal/service.py; financeops/modules/auditor_portal/__init__.py|ROUTES=POST /access/grant; GET /access; PATCH /access/{access_id}/revoke|PAGES=app/(dashboard)/audit/[engagement_id]/page.tsx; app/(dashboard)/audit/page.tsx|TESTS=15|PASS=YES
